1460409566597;179;248;
1460409567103;30;236;
1460409567635;56;231;
1460409568171;85;226;
1460409568712;99;221;
1460409569248;128;217;
1460409569788;119;212;
1460409570326;111;206;
1460409570866;120;202;
1460409571408;131;197;
1460409571942;147;194;
1460409572478;147;190;
1460409573016;156;186;
1460409573559;157;182;
1460409574104;165;179;
1460409574644;171;176;
1460409575176;172;172;
1460409575720;162;168;
1460409576262;186;166;
1460409576798;189;163;
1460409577327;191;160;
1460409577873;199;157;
1460409578401;208;155;
1460409578940;184;151;
1460409579482;218;150;
1460409580024;227;149;
1460409580563;219;146;
1460409581095;220;144;
1460409581627;224;142;
1460409582160;232;140;
1460409582697;232;139;
1460409583241;231;137;
1460409583782;235;135;
1460409584325;235;133;
1460409584862;242;132;
1460409585405;243;130;
1460409585937;242;129;
1460409586481;245;127;
1460409587014;240;126;
1460409587556;244;124;
1460409588090;255;123;
1460409588622;251;122;
1460409589159;257;121;
1460409589692;249;119;
1460409590225;258;118;
1460409591299;256;116;
1460409591831;258;115;
1460409592369;243;113;
1460409593440;264;112;
1460409594526;250;110;
1460409595073;270;109;
1460409595599;264;108;
1460409596138;266;107;
1460409597250;275;106;
1460409597755;265;105;
1460409598826;281;104;
1460409599359;255;102;
1460409599895;289;103;
1460409600434;282;102;
1460409601514;279;101;
1460409603127;282;100;
1460409604734;286;99;
1460409606351;284;98;
1460409608513;278;97;
1460409609583;301;98;
1460409610668;273;96;
1460409611210;305;97;
1460409612815;284;96;
1460409614963;283;95;
1460409615496;264;94;
1460409616033;189;88;
1460409616575;191;86;
1460409617106;191;83;
1460409617646;177;79;
1460409618190;197;77;
1460409618731;203;74;
1460409619274;206;72;
1460409619811;202;69;
1460409620354;210;67;
1460409620886;211;64;
1460409621419;214;62;
1460409621951;216;60;
1460409622484;215;58;
1460409623017;221;56;
1460409623559;218;53;
1460409624102;226;52;
1460409624645;223;49;
1460409625177;229;48;
1460409625710;228;46;
1460409626247;230;44;
1460409626785;230;42;
1460409627317;227;40;
1460409627851;235;38;
1460409628382;231;36;
1460409628925;232;35;
1460409629457;233;33;
1460409629995;237;31;
1460409630538;236;30;
1460409631075;235;28;
1460409631619;236;26;
1460409632160;237;24;
1460409632704;240;23;
1460409633245;232;21;
1460409633788;244;20;
1460409634321;245;18;
1460409634858;246;17;
1460409635391;234;15;
1460409635933;252;14;
1460409636472;251;13;
1460409637014;250;11;
1460409637551;250;10;
1460409638096;255;9;
1460409638631;253;7;
1460409640782;281;6;
1460409641313;274;5;
1460409642926;284;4;
1460409644523;283;3;
1460409645065;282;2;
1460409646663;283;1;
1460409648265;279;0;
1460409649872;374;4;
1460409650410;676;23;
1460409650949;1010;53;
1460409651480;1047;74;
1460409652014;1010;92;
1460409652545;892;104;
1460409653087;850;118;
1460409653630;783;129;
1460409654167;752;140;
1460409654701;678;148;
1460409655242;613;155;
1460409655779;595;162;
1460409656312;550;168;
1460409656845;524;173;
1460409657382;507;178;
1460409657925;488;182;
1460409658458;445;185;
1460409658995;432;188;
1460409659533;426;191;
1460409660070;392;193;
1460409660608;393;195;
1460409661140;373;197;
1460409661683;376;199;
1460409662768;375;202;
1460409663301;351;203;
1460409665451;324;204;
1460409665988;320;205;
1460409667063;327;206;
1460409667600;325;207;
1460409668139;305;206;
1460409668676;313;207;
1460409669208;333;208;
1460409669746;445;216;
1460409670288;485;222;
1460409670826;478;226;
1460409671896;430;231;
1460409672438;310;228;
1460409672981;361;231;
1460409673513;255;226;
1460409674051;423;235;
1460409674588;247;228;
1460409675154;386;235;
1460409675663;188;226;
1460409676206;371;233;
1460409676748;226;227;
1460409677291;336;231;
1460409677833;230;226;
1460409678376;332;230;
1460409678909;278;228;
1460409679451;316;229;
1460409683210;329;231;
1460409683746;271;228;
1460409684289;411;235;
1460409684826;226;228;
1460409685359;449;239;
1460409685896;132;225;
1460409686429;336;232;
1460409686971;174;223;
1460409687504;305;227;
1460409688037;267;225;
1460409688579;312;227;
1460409689113;285;226;
1460409690187;326;228;
1460409690719;271;225;
1460409691257;316;227;
1460409691794;320;228;
1460409692864;326;229;
1460409693402;334;230;
1460409693945;266;227;
1460409694482;360;231;
1460409695020;306;230;
1460409695562;344;232;
1460409696095;249;228;
1460409696627;345;232;
1460409697170;234;227;
1460409697707;464;238;
1460409698250;175;226;
1460409698783;312;231;
1460409699324;97;219;
1460409699862;103;214;
1460409700400;82;207;
1460409700932;86;201;
1460409701474;88;196;
1460409702012;92;190;
1460409702556;95;185;
1460409703097;98;179;
1460409703641;102;174;
1460409704172;103;169;
1460409704705;100;163;
1460409705242;109;159;
1460409705785;113;154;
1460409706328;114;149;
1460409706861;117;144;
1460409707392;120;139;
1460409707936;121;134;
1460409708472;120;129;
1460409709010;130;125;
1460409709543;132;121;
1460409710075;133;116;
1460409710608;137;112;
1460409711140;138;107;
1460409711673;140;103;
1460409712211;138;99;
1460409712748;140;95;
1460409713290;148;91;
1460409713823;148;87;
1460409714355;153;83;
1460409714888;154;79;
1460409715421;153;75;
1460409715957;157;71;
1460409716500;158;67;
1460409717042;153;63;
1460409717585;166;60;
1460409718118;164;56;
1460409718661;165;53;
1460409719197;166;49;
1460409719736;168;46;
1460409720267;169;42;
1460409720810;162;38;
1460409721348;173;35;
1460409721880;179;32;
1460409722412;174;28;
1460409722944;176;25;
1460409723487;181;22;
1460409724031;181;19;
1460409724572;184;16;
1460409725110;190;13;
1460409725642;187;10;
1460409726180;188;7;
1460409726722;189;4;
1460409727255;191;1;
1460409727798;191;0;
1460409729420;388;5;
1460409729963;622;21;
1460409730506;849;42;
1460409731037;904;60;
1460409731580;889;76;
1460409732111;851;90;
1460409732650;816;102;
1460409733182;757;113;
1460409733714;747;125;
1460409734252;704;134;
1460409734790;651;142;
1460409735322;618;150;
1460409735858;503;152;
1460409736402;576;162;
1460409736934;523;166;
1460409737467;495;170;
1460409737999;499;176;
1460409738537;449;178;
1460409739074;443;182;
1460409739607;437;186;
1460409740682;418;190;
1460409741214;415;193;
1460409741756;367;194;
1460409742289;381;196;
1460409742826;368;198;
1460409743901;369;201;
1460409744439;350;202;
1460409746051;322;203;
1460409747673;327;204;
1460409749291;283;203;
1460409749824;313;204;
1460409750899;283;203;
1460409751431;323;205;
1460409753034;278;203;
1460409753572;319;205;
1460409754657;285;204;
1460409755199;322;205;
1460409756812;271;203;
1460409757344;315;205;
1460409758409;294;204;
1460409758947;309;205;
1460409760560;279;204;
1460409761098;315;205;
1460409761635;313;206;
1460409762178;301;205;
1460409764855;276;204;
1460409765931;305;205;
1460409766473;274;203;
1460409767016;308;204;
